Date,Open,High,Low,Close,Volume,Market Cap
"Sep 12, 2017",21.87,23.6,19.86,20.97,40702300,1093590000
"Sep 11, 2017",22.68,23.97,21.7,21.88,27835300,1133790000
"Sep 10, 2017",21.76,23.64,19.37,22.75,54002500,1088180000
"Sep 09, 2017",24.63,24.63,21.55,21.96,47199500,1231580000
"Sep 08, 2017",30.59,30.59,22.41,24.86,112252000,1529630000
"Sep 07, 2017",21.3,33.55,20.54,30.78,214001000,1065110000
"Sep 06, 2017",22.97,24.32,20.3,21.36,77746300,1148320000
"Sep 05, 2017",21.88,23.85,18.93,22.8,91402300,1093860000
"Sep 04, 2017",30.44,30.44,17.4,21.83,189917000,1522090000
"Sep 03, 2017",31.77,32.65,28.58,30.32,43232300,1588690000
"Sep 02, 2017",31.69,34.81,28.55,31.72,92722600,1584390000
"Sep 01, 2017",33.17,33.57,28.87,32.01,75418900,1658680000
"Aug 31, 2017",32.93,35.09,32.6,33.16,49957300,1646720000
"Aug 30, 2017",33.48,35.84,29.71,33.1,97289600,1673910000
"Aug 29, 2017",38.46,38.46,30.69,33.66,168534000,1922840000
"Aug 28, 2017",40.23,40.31,37.38,38.45,41401000,2011600000
"Aug 27, 2017",38.58,41.23,37.42,40.09,50649600,1928770000
"Aug 26, 2017",40.31,40.52,37.7,38.59,41017800,2015360000
"Aug 25, 2017",41.96,42.26,39.78,40.3,47772200,2098230000
"Aug 24, 2017",39.92,42.13,39.31,42.05,63875500,1996230000
"Aug 23, 2017",35.83,44.03,35.25,40,131763000,1791670000
"Aug 22, 2017",35.16,36.17,31.6,35.85,68265300,1758180000
"Aug 21, 2017",38.04,38.28,34.15,35.3,85955000,1902060000
"Aug 20, 2017",39.63,40.65,38.16,38.19,85862200,1981640000
"Aug 19, 2017",38.86,42.22,35.4,39.97,168358000,1943180000
"Aug 18, 2017",40.85,41.16,31.32,38.85,209845000,2042450000
"Aug 17, 2017",45.72,46.34,38.91,40.69,191410000,2286130000
"Aug 16, 2017",46.98,51.24,44.69,45.54,170273000,2349050000
"Aug 15, 2017",47.5,47.99,39.52,47.49,262801000,2375010000
"Aug 14, 2017",47.63,52.02,44.79,47.43,343705000,2381360000
"Aug 13, 2017",36.86,52.63,35.32,46.65,448654000,1843040000
"Aug 12, 2017",33.16,37.37,30.45,36.61,177772000,1657810000
"Aug 11, 2017",36.32,39.13,27.58,33.5,382070000,1815780000
"Aug 10, 2017",21.68,38.44,21.36,36.18,360125000,1084180000
"Aug 09, 2017",18.34,21.94,17.46,21.75,116795000,917009000
"Aug 08, 2017",18.73,19.34,15.59,18.27,124589000,936705000
"Aug 07, 2017",15.2,20.24,14.36,18.68,166514000,759959000
"Aug 06, 2017",14.17,16.19,13.42,15.21,81450800,708471000
"Aug 05, 2017",10.39,14.95,10.24,14.02,82680400,519506000
"Aug 04, 2017",10.84,11.22,9.97,10.43,56285500,541832000
"Aug 03, 2017",8.19,10.7,8.06,10.67,49848800,409434000
"Aug 02, 2017",7.85,8.3,7.71,8.11,17559000,392732000
"Aug 01, 2017",7.36,8.2,6.96,7.86,18527900,368123000
"Jul 31, 2017",7.16,7.43,7.02,7.33,10856600,358222000
"Jul 30, 2017",7.27,7.3,6.94,7.15,9006030,363345000
"Jul 29, 2017",7.09,7.46,6.76,7.26,10518400,354258000
"Jul 28, 2017",7.75,7.88,6.93,7.09,15725800,387410000
"Jul 27, 2017",7.22,7.94,7.13,7.72,15251100,360772000
"Jul 26, 2017",7.33,7.59,6.58,7.17,16765600,366562000
"Jul 25, 2017",8.48,8.48,6.88,7.35,19480400,423876000
"Jul 24, 2017",8.61,8.81,8.19,8.46,21283700,430471000
"Jul 23, 2017",8.64,8.93,7.76,8.57,29915100,431881000
"Jul 22, 2017",7.39,9.12,7.31,8.62,32890800,369727000
"Jul 21, 2017",7.24,7.97,7.03,7.42,21298000,361826000
"Jul 20, 2017",5.89,7.47,5.89,7.21,25476100,294317000
"Jul 19, 2017",6.04,6.23,5.65,5.88,14255500,301935000
"Jul 18, 2017",5.77,6.29,5.51,6.02,18101700,288470000
"Jul 17, 2017",5.06,5.85,5.03,5.77,15013000,253054000
"Jul 16, 2017",5.03,5.27,4.83,5.04,9498420,251399000
"Jul 15, 2017",5.55,5.55,4.98,5.03,11294200,277400000
"Jul 14, 2017",6.27,6.29,5.42,5.54,12351000,313433000
"Jul 13, 2017",6.68,6.95,5.91,6.29,17824000,334240000
"Jul 12, 2017",5.31,6.69,5.07,6.63,23337300,265564000
"Jul 11, 2017",5.93,6.11,4.83,5.4,20182900,296309000
"Jul 10, 2017",6.91,6.96,5.58,6.03,11395300,345719000
"Jul 09, 2017",7.4,7.62,6.87,6.9,10422500,370072000
"Jul 08, 2017",6.79,7.63,5.91,7.45,24138500,339382000
"Jul 07, 2017",7.83,7.89,6.74,6.77,16409500,391569000
"Jul 06, 2017",7.98,8.34,7.69,7.84,17932500,399093000
"Jul 05, 2017",7.77,8.66,7.23,8.03,29368100,388453000
"Jul 04, 2017",8.22,8.49,7.77,7.78,15781600,410831000
"Jul 03, 2017",8.06,8.48,7.52,8.22,28820400,402786000
"Jul 02, 2017",7.96,8.51,6.75,8.1,47478700,397988000
"Jul 01, 2017",8.77,9.24,7.74,7.95,33128400,438293000
"Jun 30, 2017",9.72,10,8.6,8.73,43355500,485988000
"Jun 29, 2017",8.34,10.07,7.91,9.77,77050000,416970000
"Jun 28, 2017",6.96,8.69,6.49,8.38,72982300,347826000
"Jun 27, 2017",5.35,7.26,5.09,6.83,71029700,267538000
"Jun 26, 2017",5.95,6.22,4.42,5.53,27615900,297587000
"Jun 25, 2017",6.29,6.46,5.66,5.95,24890900,314543000
"Jun 24, 2017",6.87,7.11,6.25,6.3,33359500,343738000
"Jun 23, 2017",6.92,7.43,5.78,6.84,67033300,346025000
"Jun 22, 2017",10.16,10.51,6.9,6.94,115249000,507921000
"Jun 21, 2017",8.04,10.21,7.81,10.15,88374400,401956000
"Jun 20, 2017",11.79,11.79,7.87,8,126661000,589390000
"Jun 19, 2017",5.46,11.81,5.46,11.72,281341000,273011000
"Jun 18, 2017",3.79,5.26,3.47,5.26,61381000,189717000
"Jun 17, 2017",2.8,4.18,2.7,3.76,82601000,139894000
"Jun 16, 2017",1.8,2.81,1.72,2.77,45782200,90202000
"Jun 15, 2017",1.74,1.84,1.54,1.78,9550940,86947000
